/global_subject_pose.header.seq ,/global_subject_pose.header.stamp.secs ,/global_subject_pose.translation.x ,/global_subject_pose.translation.y ,/global_subject_pose.translation.z ,/global_subject_pose.rotation.x ,/global_subject_pose.rotation.y ,/global_subject_pose.rotation.z ,/relative_subject_pose.header.seq ,/relative_subject_pose.header.stamp.secs ,/relative_subject_pose.translation.x ,/relative_subject_pose.translation.y ,/relative_subject_pose.translation.z ,/relative_subject_pose.rotation.x ,/relative_subject_pose.rotation.y ,/relative_subject_pose.rotation.z ,/task_waypose.translation.x ,/task_waypose.translation.y ,/task_waypose.translation.z ,/task_waypose.rotation.x ,/task_waypose.rotation.y ,/task_waypose.rotation.z
10452 , 1366653843 , 0.863548779718 , -0.00575728127853 , 0.986699230003 , 0.00231755600224 , 0.0107049908341 , 6.09506351513 , 591 , 1366653843 , 0.0261351854091 , -0.00524056138363 , 0.986292654698 , 0.00462793558728 , 0.0160935369148 , 6.09360288602 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10453 , 1366653843 , 0.863540292633 , -0.00629481119786 , 0.986681132461 , 0.000565970711267 , 0.0083371541834 , 6.09592126054 , 591 , 1366653843 , 0.0261351854091 , -0.00524056138363 , 0.986292654698 , 0.00462793558728 , 0.0160935369148 , 6.09360288602 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10454 , 1366653843 , 0.863679764417 , -0.00627010158064 , 0.986284601887 , 0.00284960553173 , 0.0135857793989 , 6.09823782221 , 591 , 1366653843 , 0.0261351854091 , -0.00524056138363 , 0.986292654698 , 0.00462793558728 , 0.0160935369148 , 6.09360288602 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10455 , 1366653843 , 0.864063878372 , -0.00641784973527 , 0.986905959722 , 0.00498013285214 , 0.00993342963019 , 6.09186501999 , 591 , 1366653843 , 0.0261351854091 , -0.00524056138363 , 0.986292654698 , 0.00462793558728 , 0.0160935369148 , 6.09360288602 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10456 , 1366653843 , 0.86377602991 , -0.00624815994394 , 0.986521458047 , -0.00147512353232 , 0.0104553148746 , 6.09541980067 , 591 , 1366653843 , 0.0261351854091 , -0.00524056138363 , 0.986292654698 , 0.00462793558728 , 0.0160935369148 , 6.09360288602 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10457 , 1366653843 , 0.864203495803 , -0.00690621261579 , 0.986140437396 , -7.07373163738e-05 , 0.00427006931692 , 6.09161953606 , 592 , 1366653843 , 0.023247752823 , -0.00624815994394 , 0.986521458047 , -0.00147512353232 , 0.0104553148746 , 6.09541980067 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10458 , 1366653843 , 0.8645145743 , -0.00675888173692 , 0.986701846605 , 0.00501977165982 , 0.0135383567959 , 6.09871071773 , 592 , 1366653843 , 0.023247752823 , -0.00624815994394 , 0.986521458047 , -0.00147512353232 , 0.0104553148746 , 6.09541980067 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10459 , 1366653843 , 0.864507471695 , -0.00699696811329 , 0.98647223869 , 0.00173850043792 , 0.0137172354764 , 6.09702283917 , 592 , 1366653843 , 0.023247752823 , -0.00624815994394 , 0.986521458047 , -0.00147512353232 , 0.0104553148746 , 6.09541980067 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10460 , 1366653843 , 0.864857209676 , -0.00721760162893 , 0.986797706697 , 0.00290721306327 , 0.0121726408784 , 6.09518299946 , 592 , 1366653843 , 0.023247752823 , -0.00624815994394 , 0.986521458047 , -0.00147512353232 , 0.0104553148746 , 6.09541980067 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10461 , 1366653843 , 0.864993912061 , -0.00740957153012 , 0.98655866605 , 0.00269280034992 , 0.0148943519341 , 6.09624246796 , 592 , 1366653843 , 0.023247752823 , -0.00624815994394 , 0.986521458047 , -0.00147512353232 , 0.0104553148746 , 6.09541980067 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10462 , 1366653843 , 0.865128085162 , -0.00775934897114 , 0.986570992371 , 0.00383001414472 , 0.0128433737976 , 6.09382806682 , 592 , 1366653843 , 0.023247752823 , -0.00624815994394 , 0.986521458047 , -0.00147512353232 , 0.0104553148746 , 6.09541980067 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10463 , 1366653843 , 0.865228412261 , -0.00791145344888 , 0.986263277719 , 0.00179365517741 , 0.00682475446928 , 6.09290184692 , 592 , 1366653843 , 0.023247752823 , -0.00624815994394 , 0.986521458047 , -0.00147512353232 , 0.0104553148746 , 6.09541980067 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10464 , 1366653843 , 0.865738523192 , -0.00802754841552 , 0.986923705754 , 0.00829077719016 , 0.0151568731646 , 6.09862265776 , 592 , 1366653843 , 0.023247752823 , -0.00624815994394 , 0.986521458047 , -0.00147512353232 , 0.0104553148746 , 6.09541980067 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10465 , 1366653843 , 0.865514214095 , -0.00828445258824 , 0.986513971809 , 0.0039396660248 , 0.0172475795373 , 6.09697485947 , 592 , 1366653843 , 0.023247752823 , -0.00624815994394 , 0.986521458047 , -0.00147512353232 , 0.0104553148746 , 6.09541980067 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10466 , 1366653843 , 0.865938551399 , -0.00852464761822 , 0.986858082435 , 0.00296427476572 , 0.0104198946636 , 6.09497780154 , 592 , 1366653843 , 0.023247752823 , -0.00624815994394 , 0.986521458047 , -0.00147512353232 , 0.0104553148746 , 6.09541980067 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10467 , 1366653843 , 0.866233301876 , -0.0088015761207 , 0.986901641229 , 0.00679878154623 , 0.011099282489 , 6.09307793133 , 592 , 1366653843 , 0.023247752823 , -0.00624815994394 , 0.986521458047 , -0.00147512353232 , 0.0104553148746 , 6.09541980067 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10468 , 1366653843 , 0.866299303672 , -0.00898028978379 , 0.986825028292 , 0.00293568303678 , 0.0105746766688 , 6.09553299185 , 592 , 1366653843 , 0.023247752823 , -0.00624815994394 , 0.986521458047 , -0.00147512353232 , 0.0104553148746 , 6.09541980067 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10469 , 1366653843 , 0.866267292767 , -0.00915845737587 , 0.986773241296 , 0.00101969852846 , -0.00126669915 , 6.09508626034 , 593 , 1366653843 , 0.0252100133976 , -0.00898028978379 , 0.986825028292 , 0.00293568303678 , 0.0105746766688 , 6.09553299185 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10470 , 1366653843 , 0.866429472843 , -0.00934699233709 , 0.986790515129 , 0.000907138000748 , 0.00851399716729 , 6.09473253325 , 593 , 1366653843 , 0.0252100133976 , -0.00898028978379 , 0.986825028292 , 0.00293568303678 , 0.0105746766688 , 6.09553299185 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10471 , 1366653843 , 0.866847998019 , -0.00924990307107 , 0.987101285626 , 0.00147813592107 , 0.00756416852183 , 6.09223084166 , 593 , 1366653843 , 0.0252100133976 , -0.00898028978379 , 0.986825028292 , 0.00293568303678 , 0.0105746766688 , 6.09553299185 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10472 , 1366653843 , 0.867041366192 , -0.00979013690401 , 0.987111067406 , 0.0042793987556 , 0.00927310729656 , 6.09369664058 , 594 , 1366653843 , 0.0254470903756 , -0.00924990307107 , 0.987101285626 , 0.00147813592107 , 0.00756416852183 , 6.09223084166 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10473 , 1366653843 , 0.867206918726 , -0.00987552459746 , 0.987037000317 , 0.00264339464149 , 0.0135168818419 , 6.09608090694 , 594 , 1366653843 , 0.0254470903756 , -0.00924990307107 , 0.987101285626 , 0.00147813592107 , 0.00756416852183 , 6.09223084166 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10474 , 1366653843 , 0.867342282989 , -0.0100795310472 , 0.986976132007 , 0.00222391105528 , 0.00888958931887 , 6.09576316677 , 594 , 1366653843 , 0.0254470903756 , -0.00924990307107 , 0.987101285626 , 0.00147813592107 , 0.00756416852183 , 6.09223084166 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10475 , 1366653843 , 0.867256214836 , -0.0101278432988 , 0.986903238151 , 0.00238326056166 , 0.00688418189337 , 6.0926426648 , 594 , 1366653843 , 0.0254470903756 , -0.00924990307107 , 0.987101285626 , 0.00147813592107 , 0.00756416852183 , 6.09223084166 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10476 , 1366653843 , 0.867846571391 , -0.0104594409304 , 0.986951265772 , -0.00191160769252 , 0.0124639915178 , 6.09625049371 , 594 , 1366653843 , 0.0254470903756 , -0.00924990307107 , 0.987101285626 , 0.00147813592107 , 0.00756416852183 , 6.09223084166 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10477 , 1366653843 , 0.867960315335 , -0.010589561704 , 0.987114426774 , 0.00168315933368 , 0.0103348964219 , 6.09567227326 , 594 , 1366653843 , 0.0254470903756 , -0.00924990307107 , 0.987101285626 , 0.00147813592107 , 0.00756416852183 , 6.09223084166 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10478 , 1366653843 , 0.868126545494 , -0.010762076601 , 0.987320932893 , 0.00174494373975 , 0.0112216668222 , 6.09784094759 , 595 , 1366653843 , 0.0246098911589 , -0.010589561704 , 0.987114426774 , 0.00168315933368 , 0.0103348964219 , 6.09567227326 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10479 , 1366653843 , 0.868295800868 , -0.0108419311237 , 0.986965010986 , 0.00496659720048 , 0.0140416781047 , 6.09727879778 , 595 , 1366653843 , 0.0246098911589 , -0.010589561704 , 0.987114426774 , 0.00168315933368 , 0.0103348964219 , 6.09567227326 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
